STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16,BREW06,BREW07,BREW08,BREW09,BREW10,BREW11,BREW12,BREW13,BREW14,BREW15,BREW16
Nebraska,NE,45474,47085,49693,47357,48408,50296,50723,51440,52686,54996,56927,0.43,0.429,0.427,0.44,0.432,0.4467,0.4339,0.4445,0.4352,0.4473,0.4477,22,26,31,31,31,35,41,49,62,74,79
Nevada,NV,52998,55062,56361,53341,51001,48927,49760,51230,51450,52431,55180,0.434,0.437,0.431,0.433,0.448,0.4526,0.4516,0.4543,0.4427,0.4548,0.4577,46,45,50,52,61,71,94,125,155,207,260
New Hampshire,NH,59683,62369,63731,60567,61042,62647,63280,64230,66532,70303,70936,0.417,0.417,0.419,0.431,0.425,0.4347,0.4298,0.4387,0.441,0.4347,0.4304,3,3,3,3,3,3,7,8,10,11,15
New Jersey,NJ,64470,67035,70378,68342,67681,67458,69667,70165,71919,72222,76126,0.458,0.464,0.462,0.465,0.464,0.4694,0.4718,0.48,0.4757,0.4832,0.4813,16,17,16,17,16,18,20,25,35,39,47
New Mexico,NM,40629,41452,43508,43028,42090,41963,42558,43872,44803,45382,46748,0.457,0.459,0.46,0.453,0.464,0.4821,0.4713,0.4759,0.477,0.4795,0.4769,14,15,16,17,19,21,25,35,46,63,73
New York,NY,51384,53514,56033,54659,54148,55246,56448,57369,58878,60850,62909,0.495,0.5,0.503,0.502,0.499,0.5033,0.5009,0.5098,0.5111,0.5138,0.5129,21,21,20,22,24,31,29,37,49,71,96
North Carolina,NC,42625,44670,46549,43674,43326,43916,45150,45906,46556,47830,50584,0.458,0.465,0.463,0.464,0.464,0.4716,0.4691,0.4765,0.4748,0.4776,0.478,23,21,20,21,26,30,38,48,60,71,86
North Dakota,ND,41919,43753,45685,47827,48670,51704,53585,55759,59029,60557,60656,0.434,0.44,0.451,0.45,0.433,0.4448,0.4597,0.455,0.4664,0.4664,0.4533,16,16,17,18,20,20,23,26,34,39,44
Ohio,OH,44532,46597,47988,45395,45090,45749,46829,48081,49308,51075,52334,0.449,0.448,0.45,0.453,0.452,0.4594,0.4615,0.4652,0.4637,0.4637,0.468,82,77,81,84,100,123,150,193,255,329,394
Oklahoma,OK,38770,41567,42822,41664,42072,43225,44312,45690,47529,48568,49176,0.46,0.463,0.458,0.46,0.454,0.4613,0.4643,0.4619,0.466,0.4702,0.4645,57,58,66,66,75,81,99,114,151,187,236
