STATE_NAME,STATE_ABBR,MI06,MI07,MI08,MI09,MI10,MI11,MI12,MI13,MI14,MI15,MI16,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16
Missouri,MO,"42,841.00","45,114.00","46,867.00","45,229.00","44,301.00","45,247.00","45,321.00","46,931.00","48,363.00","50,238.00","51,746.00",0.449,0.45,0.448,0.45,0.455,0.4611,0.4608,0.4605,0.4628,0.4634,0.4646
Montana,MT,"40,627.00","43,531.00","43,654.00","42,322.00","42,666.00","44,222.00","45,076.00","46,972.00","46,328.00","49,509.00","50,027.00",0.426,0.443,0.449,0.431,0.435,0.4351,0.4502,0.462,0.4544,0.4623,0.4667
Nebraska,NE,"45,474.00","47,085.00","49,693.00","47,357.00","48,408.00","50,296.00","50,723.00","51,440.00","52,686.00","54,996.00","56,927.00",0.43,0.429,0.427,0.44,0.432,0.4467,0.4339,0.4445,0.4352,0.4473,0.4477
Nevada,NV,"52,998.00","55,062.00","56,361.00","53,341.00","51,001.00","48,927.00","49,760.00","51,230.00","51,450.00","52,431.00","55,180.00",0.434,0.437,0.431,0.433,0.448,0.4526,0.4516,0.4543,0.4427,0.4548,0.4577
New Hampshire,NH,"59,683.00","62,369.00","63,731.00","60,567.00","61,042.00","62,647.00","63,280.00","64,230.00","66,532.00","70,303.00","70,936.00",0.417,0.417,0.419,0.431,0.425,0.4347,0.4298,0.4387,0.441,0.4347,0.4304
New Jersey,NJ,"64,470.00","67,035.00","70,378.00","68,342.00","67,681.00","67,458.00","69,667.00","70,165.00","71,919.00","72,222.00","76,126.00",0.458,0.464,0.462,0.465,0.464,0.4694,0.4718,0.48,0.4757,0.4832,0.4813
New Mexico,NM,"40,629.00","41,452.00","43,508.00","43,028.00","42,090.00","41,963.00","42,558.00","43,872.00","44,803.00","45,382.00","46,748.00",0.457,0.459,0.46,0.453,0.464,0.4821,0.4713,0.4759,0.477,0.4795,0.4769
New York,NY,"51,384.00","53,514.00","56,033.00","54,659.00","54,148.00","55,246.00","56,448.00","57,369.00","58,878.00","60,850.00","62,909.00",0.495,0.5,0.503,0.502,0.499,0.5033,0.5009,0.5098,0.5111,0.5138,0.5129
North Carolina,NC,"42,625.00","44,670.00","46,549.00","43,674.00","43,326.00","43,916.00","45,150.00","45,906.00","46,556.00","47,830.00","50,584.00",0.458,0.465,0.463,0.464,0.464,0.4716,0.4691,0.4765,0.4748,0.4776,0.478
North Dakota,ND,"41,919.00","43,753.00","45,685.00","47,827.00","48,670.00","51,704.00","53,585.00","55,759.00","59,029.00","60,557.00","60,656.00",0.434,0.44,0.451,0.45,0.433,0.4448,0.4597,0.455,0.4664,0.4664,0.4533
